x-axis,MATH
Hertz,dBV
+25.00E+03,-83.56738E+00
+26.00E+03,-83.25488E+00
+27.00E+03,-82.96619E+00
+28.00E+03,-82.85938E+00
+29.00E+03,-87.04883E+00
+30.00E+03,-85.56873E+00
+31.00E+03,-80.47046E+00
+32.00E+03,-78.91406E+00
+33.00E+03,-82.36560E+00
+34.00E+03,-84.34009E+00
+35.00E+03,-84.18750E+00
+36.00E+03,-83.35437E+00
+37.00E+03,-82.82031E+00
+38.00E+03,-83.29639E+00
+39.00E+03,-80.98315E+00
+40.00E+03,-79.30469E+00
+41.00E+03,-79.49512E+00
+42.00E+03,-81.25964E+00
+43.00E+03,-80.59863E+00
+44.00E+03,-79.50000E+00
+45.00E+03,-82.23743E+00
+46.00E+03,-83.99219E+00
+47.00E+03,-79.89795E+00
+48.00E+03,-77.27344E+00
+49.00E+03,-79.63000E+00
+50.00E+03,-81.14063E+00
+51.00E+03,-75.02307E+00
+52.00E+03,-71.10156E+00
+53.00E+03,-71.76807E+00
+54.00E+03,-71.88586E+00
+55.00E+03,-67.23621E+00
+56.00E+03,-63.85913E+00
+57.00E+03,-63.52344E+00
+58.00E+03,-68.16516E+00
+59.00E+03,-66.68933E+00
+60.00E+03,-63.83594E+00
+61.00E+03,-64.12158E+00
+62.00E+03,-64.30469E+00
+63.00E+03,-62.78125E+00
+64.00E+03,-61.80469E+00
+65.00E+03,-59.54333E+00
+66.00E+03,-57.85571E+00
+67.00E+03,-53.63269E+00
+68.00E+03,-48.71448E+00
+69.00E+03,-45.02063E+00
+70.00E+03,-40.76892E+00
+71.00E+03,-35.09692E+00
+72.00E+03,-28.43555E+00
+73.00E+03,-16.77600E+00
+74.00E+03,-6.88159E+00
+75.00E+03,-2.32227E+00
+76.00E+03,-958.74E-03
+77.00E+03,-867.19E-03
+78.00E+03,-2.41443E+00
+79.00E+03,-7.07202E+00
+80.00E+03,-16.96765E+00
+81.00E+03,-29.51709E+00
+82.00E+03,-35.50830E+00
+83.00E+03,-41.46411E+00
+84.00E+03,-44.85156E+00
+85.00E+03,-48.58875E+00
+86.00E+03,-50.98438E+00
+87.00E+03,-54.22168E+00
+88.00E+03,-56.29688E+00
+89.00E+03,-57.98694E+00
+90.00E+03,-59.07031E+00
+91.00E+03,-62.30762E+00
+92.00E+03,-64.38281E+00
+93.00E+03,-65.09692E+00
+94.00E+03,-65.55469E+00
+95.00E+03,-69.31567E+00
+96.00E+03,-71.72656E+00
+97.00E+03,-69.72705E+00
+98.00E+03,-68.44531E+00
+99.00E+03,-75.41980E+00
+100.00E+03,-80.67615E+00
+101.00E+03,-78.27563E+00
+102.00E+03,-76.41406E+00
+103.00E+03,-73.62903E+00
+104.00E+03,-71.84375E+00
+105.00E+03,-74.17651E+00
+106.00E+03,-76.52881E+00
+107.00E+03,-78.12549E+00
+108.00E+03,-79.67761E+00
+109.00E+03,-77.74280E+00
+110.00E+03,-71.76074E+00
+111.00E+03,-68.95313E+00
+112.00E+03,-69.14355E+00
+113.00E+03,-70.74146E+00
+114.00E+03,-74.13928E+00
+115.00E+03,-77.25818E+00
+116.00E+03,-82.24902E+00
+117.00E+03,-84.62207E+00
+118.00E+03,-81.00085E+00
+119.00E+03,-76.97253E+00
+120.00E+03,-75.82813E+00
+121.00E+03,-76.04236E+00
+122.00E+03,-77.48889E+00
+123.00E+03,-80.80371E+00
+124.00E+03,-86.19922E+00
+125.00E+03,-88.35498E+00
+126.00E+03,-88.17188E+00
+127.00E+03,-90.14758E+00
+128.00E+03,-91.91394E+00
+129.00E+03,-93.49597E+00
+130.00E+03,-88.68701E+00
+131.00E+03,-84.58606E+00
+132.00E+03,-84.26563E+00
+133.00E+03,-84.57507E+00
+134.00E+03,-84.77344E+00
+135.00E+03,-85.67798E+00
+136.00E+03,-86.97192E+00
+137.00E+03,-87.23926E+00
+138.00E+03,-87.11719E+00
+139.00E+03,-85.92700E+00
+140.00E+03,-81.99817E+00
+141.00E+03,-79.96875E+00
+142.00E+03,-82.68237E+00
+143.00E+03,-85.32642E+00
+144.00E+03,-89.83386E+00
+145.00E+03,-90.70911E+00
+146.00E+03,-89.65625E+00
+147.00E+03,-90.27515E+00
+148.00E+03,-93.74255E+00
+149.00E+03,-83.99951E+00
+150.00E+03,-76.49219E+00
+151.00E+03,-66.28040E+00
+152.00E+03,-50.37952E+00
+153.00E+03,-43.24023E+00
+154.00E+03,-42.50781E+00
+155.00E+03,-43.05530E+00
+156.00E+03,-45.76282E+00
+157.00E+03,-52.22461E+00
+158.00E+03,-65.63403E+00
+159.00E+03,-72.19531E+00
+160.00E+03,-79.62207E+00
+161.00E+03,-85.54919E+00
+162.00E+03,-86.43970E+00
+163.00E+03,-86.03137E+00
+164.00E+03,-85.18726E+00
+165.00E+03,-84.85156E+00
+166.00E+03,-85.30383E+00
+167.00E+03,-86.49829E+00
+168.00E+03,-87.07813E+00
+169.00E+03,-87.69702E+00
+170.00E+03,-84.85645E+00
+171.00E+03,-81.32922E+00
+172.00E+03,-80.39844E+00
+173.00E+03,-80.49365E+00
+174.00E+03,-83.43494E+00
+175.00E+03,-87.42358E+00
+176.00E+03,-87.77332E+00
+177.00E+03,-87.11719E+00
+178.00E+03,-88.42639E+00
+179.00E+03,-94.57385E+00
+180.00E+03,-96.59595E+00
+181.00E+03,-95.71094E+00
+182.00E+03,-96.61548E+00
+183.00E+03,-97.19531E+00
+184.00E+03,-90.67310E+00
+185.00E+03,-82.99304E+00
+186.00E+03,-78.10779E+00
+187.00E+03,-76.39026E+00
+188.00E+03,-76.37500E+00
+189.00E+03,-76.97009E+00
+190.00E+03,-79.61292E+00
+191.00E+03,-83.34766E+00
+192.00E+03,-86.55017E+00
+193.00E+03,-87.66406E+00
+194.00E+03,-88.25916E+00
+195.00E+03,-89.28333E+00
+196.00E+03,-89.88574E+00
+197.00E+03,-91.95972E+00
+198.00E+03,-88.30737E+00
+199.00E+03,-83.54541E+00
+200.00E+03,-81.65088E+00
+201.00E+03,-80.95874E+00
+202.00E+03,-80.86719E+00
+203.00E+03,-81.72412E+00
+204.00E+03,-82.60669E+00
+205.00E+03,-83.60583E+00
+206.00E+03,-84.10938E+00
+207.00E+03,-86.51355E+00
+208.00E+03,-84.57935E+00
+209.00E+03,-81.42322E+00
+210.00E+03,-80.66150E+00
+211.00E+03,-80.55469E+00
+212.00E+03,-81.05457E+00
+213.00E+03,-81.37500E+00
+214.00E+03,-83.58875E+00
+215.00E+03,-85.19824E+00
+216.00E+03,-85.32031E+00
+217.00E+03,-87.10559E+00
+218.00E+03,-84.70325E+00
+219.00E+03,-82.42969E+00
+220.00E+03,-84.02454E+00
+221.00E+03,-86.99878E+00
+222.00E+03,-88.25000E+00
+223.00E+03,-84.41760E+00
+224.00E+03,-81.96094E+00
+225.00E+03,-84.22229E+00
+226.00E+03,-81.26819E+00
+227.00E+03,-75.32703E+00
+228.00E+03,-73.32813E+00
+229.00E+03,-63.30676E+00
+230.00E+03,-52.26489E+00
+231.00E+03,-47.04333E+00
+232.00E+03,-45.18909E+00
+233.00E+03,-44.92969E+00
+234.00E+03,-46.04846E+00
+235.00E+03,-50.02673E+00
+236.00E+03,-58.44897E+00
+237.00E+03,-70.62488E+00
+238.00E+03,-86.18274E+00
+239.00E+03,-88.05957E+00
+240.00E+03,-85.00781E+00
+241.00E+03,-85.88855E+00
+242.00E+03,-87.26245E+00
+243.00E+03,-87.78125E+00
+244.00E+03,-85.54370E+00
+245.00E+03,-84.10938E+00
+246.00E+03,-90.48877E+00
+247.00E+03,-93.05469E+00
+248.00E+03,-89.55493E+00
+249.00E+03,-86.77112E+00
+250.00E+03,-85.57117E+00
+251.00E+03,-85.28125E+00
+252.00E+03,-86.16199E+00
+253.00E+03,-86.72656E+00
+254.00E+03,-85.70300E+00
+255.00E+03,-85.04688E+00
+256.00E+03,-87.26062E+00
+257.00E+03,-88.22742E+00
+258.00E+03,-86.77112E+00
+259.00E+03,-86.02344E+00
+260.00E+03,-87.35645E+00
+261.00E+03,-88.11572E+00
+262.00E+03,-86.43604E+00
+263.00E+03,-85.39844E+00
+264.00E+03,-87.18372E+00
+265.00E+03,-88.32813E+00
+266.00E+03,-87.97107E+00
+267.00E+03,-86.86145E+00
+268.00E+03,-86.29688E+00
+269.00E+03,-87.22522E+00
+270.00E+03,-87.32043E+00
+271.00E+03,-83.81030E+00
+272.00E+03,-81.76563E+00
+273.00E+03,-84.31262E+00
+274.00E+03,-85.99292E+00
+275.00E+03,-86.19006E+00
+276.00E+03,-88.12976E+00
+277.00E+03,-88.66199E+00
+278.00E+03,-88.25000E+00
+279.00E+03,-87.48828E+00
+280.00E+03,-90.52295E+00
+281.00E+03,-91.92432E+00
+282.00E+03,-90.63708E+00
+283.00E+03,-90.16406E+00
+284.00E+03,-91.33044E+00
+285.00E+03,-89.57874E+00
+286.00E+03,-84.50122E+00
+287.00E+03,-80.10730E+00
+288.00E+03,-76.86206E+00
+289.00E+03,-75.67188E+00
+290.00E+03,-78.17126E+00
+291.00E+03,-79.55920E+00
+292.00E+03,-78.35071E+00
+293.00E+03,-77.66406E+00
+294.00E+03,-80.02063E+00
+295.00E+03,-82.50720E+00
+296.00E+03,-83.51367E+00
+297.00E+03,-83.75781E+00
+298.00E+03,-82.52002E+00
+299.00E+03,-81.72656E+00
+300.00E+03,-81.89319E+00
+301.00E+03,-82.80933E+00
+302.00E+03,-83.94702E+00
+303.00E+03,-84.34375E+00
+304.00E+03,-82.20142E+00
+305.00E+03,-80.82813E+00
+306.00E+03,-70.97339E+00
+307.00E+03,-57.49133E+00
+308.00E+03,-49.39929E+00
+309.00E+03,-45.70422E+00
+310.00E+03,-44.77344E+00
+311.00E+03,-45.01147E+00
+312.00E+03,-47.09216E+00
+313.00E+03,-52.56519E+00
+314.00E+03,-64.51709E+00
+315.00E+03,-74.07947E+00
+316.00E+03,-81.46045E+00
+317.00E+03,-88.21826E+00
+318.00E+03,-87.14404E+00
+319.00E+03,-84.79358E+00
+320.00E+03,-84.65625E+00
+321.00E+03,-85.27515E+00
+322.00E+03,-83.93420E+00
+323.00E+03,-84.62939E+00
+324.00E+03,-86.93164E+00
+325.00E+03,-84.78381E+00
+326.00E+03,-82.93750E+00
+327.00E+03,-83.34216E+00
+328.00E+03,-83.83960E+00
