time	V(n002)
0.000000000000000e+000	-2.267514e-011
3.840867572830949e-003	4.519310e-007
3.843598502823388e-003	1.010159e-006
3.846329432815827e-003	1.180652e-006
3.849060362808266e-003	9.634092e-007
3.851791292800705e-003	3.584306e-007
3.854522222793144e-003	-6.342837e-007
3.857253152785583e-003	-2.014734e-006
3.859984082778022e-003	-3.782919e-006
3.861695625548731e-003	1.288404e-007
3.863407168319439e-003	2.659777e-006
3.865118711090147e-003	3.809891e-006
3.866830253860855e-003	3.579182e-006
3.868541796631563e-003	1.967651e-006
3.870253339402272e-003	-1.024704e-006
3.871964882172980e-003	-5.397881e-006
3.873861369231934e-003	-5.002295e-007
3.875757856290888e-003	2.711419e-006
3.877654343349842e-003	4.237066e-006
3.879550830408796e-003	4.076709e-006
3.881447317467750e-003	2.230350e-006
3.883343804526704e-003	-1.302011e-006
3.885240291585658e-003	-6.520376e-006
3.886605390542682e-003	-4.750421e-006
3.887970489499705e-003	-2.851234e-006
3.889335588456728e-003	-8.228142e-007
3.890700687413752e-003	1.334838e-006
3.892065786370775e-003	3.621723e-006
3.893430885327798e-003	6.037840e-006
3.894795984284822e-003	8.583190e-006
3.896123320971608e-003	2.136040e-007
3.897450657658395e-003	-5.689651e-006
3.898777994345181e-003	-9.126575e-006
3.900105331031968e-003	-1.009717e-005
3.901432667718755e-003	-8.601429e-006
3.902760004405541e-003	-4.639360e-006
3.904087341092328e-003	1.789040e-006
3.907153418585211e-003	1.432699e-005
3.908324527669532e-003	7.767881e-006
3.909495636753853e-003	2.026346e-006
3.910666745838174e-003	-2.897615e-006
3.911837854922494e-003	-7.004000e-006
3.913008964006815e-003	-1.029281e-005
3.914180073091136e-003	-1.276405e-005
3.915351182175457e-003	-1.441771e-005
3.918550706288109e-003	9.418186e-006
3.921255548948464e-003	2.023439e-005
3.924372255998106e-003	-1.357784e-006
3.927032137909549e-003	-2.304968e-005
3.929815614200349e-003	-1.345341e-005
3.932714776959236e-003	1.943035e-005
3.935044387652895e-003	2.819858e-005
3.937888756677618e-003	-8.569745e-007
3.940149244650522e-003	-2.973232e-005
3.942699217587867e-003	-2.723640e-005
3.945213111410789e-003	1.073037e-005
3.947335101970782e-003	3.896329e-005
3.949907628481551e-003	2.681633e-005
3.952226519833063e-003	-1.791977e-005
3.953555559530918e-003	-4.078445e-005
3.955027971871997e-003	-4.882348e-005
3.956940501281951e-003	-2.704285e-005
3.959059526930656e-003	2.304401e-005
3.960352400627995e-003	4.919248e-005
3.961797128161787e-003	5.808923e-005
3.963711297067335e-003	3.193914e-005
3.965132627926513e-003	-7.012952e-006
3.966506847083519e-003	-4.557765e-005
3.967806416718905e-003	-6.747399e-005
3.969493105602636e-003	-5.956807e-005
3.971327366497704e-003	-1.176496e-005
3.972695081234764e-003	3.621643e-005
3.974062101270876e-003	7.325588e-005
3.975546237898404e-003	8.094692e-005
3.976430109533188e-003	6.723784e-005
3.978276946900818e-003	6.500797e-006
3.979557322342627e-003	-4.700624e-005
3.980850082174988e-003	-8.768846e-005
3.981500776109893e-003	-9.710810e-005
3.982345915319193e-003	-9.599354e-005
3.983242079232876e-003	-7.877355e-005
3.985078275240554e-003	-5.959803e-006
3.986325045649883e-003	5.611021e-005
3.986954173939118e-003	8.302364e-005
3.987599605880507e-003	1.039922e-004
3.988248478737228e-003	1.154124e-004
3.989089757550258e-003	1.144985e-004
3.989984635311787e-003	9.482553e-005
3.990981139063050e-003	5.398713e-005
3.992348364175470e-003	-2.356871e-005
3.992985700590222e-003	-6.116282e-005
3.993627371372507e-003	-9.470706e-005
3.994280447605863e-003	-1.213302e-004
3.994898337471122e-003	-1.359591e-004
3.995734355658156e-003	-1.377129e-004
3.996602380482896e-003	-1.184587e-004
3.997538256589894e-003	-7.575809e-005
3.998419894917139e-003	-2.073110e-005
3.999064163096999e-003	2.478854e-005
3.999729716857765e-003	7.138361e-005
4.000450337695235e-003	1.158718e-004
4.001100418177812e-003	1.464534e-004
4.001755187191627e-003	1.633148e-004
4.002581006829658e-003	1.628086e-004
4.003476118876597e-003	1.367562e-004
4.004310527338549e-003	9.038265e-005
4.005089171059198e-003	3.226193e-005
4.005718912645754e-003	-2.072376e-005
4.006374321043266e-003	-7.600115e-005
4.007069514641362e-003	-1.287860e-004
4.007730378608489e-003	-1.686098e-004
4.008342465458253e-003	-1.909976e-004
4.009159268660770e-003	-1.966129e-004
4.009993720559881e-003	-1.749768e-004
4.010799285085034e-003	-1.277979e-004
4.011651077563671e-003	-5.663808e-005
4.012304281196071e-003	7.312068e-006
4.012992672523017e-003	7.714310e-005
4.013630174947494e-003	1.373902e-004
4.014230088677882e-003	1.847676e-004
4.014848849870422e-003	2.188188e-004
4.015578345188460e-003	2.364715e-004
4.016307684395227e-003	2.274495e-004
4.017110215942556e-003	1.871637e-004
4.017859804380294e-003	1.248545e-004
4.018559536437720e-003	4.986770e-005
4.019175219210055e-003	-2.376484e-005
4.019817346742063e-003	-1.009733e-004
4.020502489120110e-003	-1.762524e-004
4.021111907082665e-003	-2.307025e-004
4.021729602995764e-003	-2.666753e-004
4.022498882937116e-003	-2.816865e-004
4.023242013717035e-003	-2.638396e-004
4.023966250078266e-003	-2.139472e-004
4.024785610567368e-003	-1.268806e-004
4.025476224828311e-003	-3.586592e-005
4.026080472007794e-003	5.119416e-005
4.026703506584819e-003	1.396719e-004
4.027341747092111e-003	2.207124e-004
4.027991020301339e-003	2.861203e-004
4.028591035117217e-003	3.248161e-004
4.029233322077408e-003	3.385307e-004
4.029873604054393e-003	3.218554e-004
4.030573819964539e-003	2.690701e-004
4.031364759274237e-003	1.746110e-004
4.032080594007956e-003	6.561779e-005
4.032694823452025e-003	-3.880683e-005
4.033334381959747e-003	-1.477076e-004
4.034028436452745e-003	-2.546240e-004
4.034689421156275e-003	-3.361272e-004
4.035299873529803e-003	-3.849183e-004
4.035945559518961e-003	-4.026698e-004
4.036630262049404e-003	-3.832436e-004
4.037248084386775e-003	-3.291673e-004
4.038089012466131e-003	-2.103154e-004
4.038859397687888e-003	-7.127478e-005
4.039480531914450e-003	5.444127e-005
4.040125400793168e-003	1.847186e-004
4.040829099153145e-003	3.123873e-004
4.041481085251252e-003	4.059900e-004
4.042091316171905e-003	4.616480e-004
4.042727989090003e-003	4.803418e-004
4.043383713063726e-003	4.565053e-004
4.044000461800789e-003	3.913085e-004
4.044838126181507e-003	2.499331e-004
4.045602346872248e-003	8.549541e-005
4.046221744231984e-003	-6.389291e-005
4.046865099052215e-003	-2.188175e-004
4.047567965577078e-003	-3.709630e-004
