x-axis,MATH
Hertz,dBV
+400.00E+00,-75.96680E+00
+420.00E+00,-76.70044E+00
+440.00E+00,-76.24512E+00
+460.00E+00,-74.59717E+00
+480.00E+00,-76.83228E+00
+500.00E+00,-78.94897E+00
+520.00E+00,-75.47363E+00
+540.00E+00,-70.46387E+00
+560.00E+00,-70.54565E+00
+580.00E+00,-76.96045E+00
+600.00E+00,-74.35669E+00
+620.00E+00,-71.92017E+00
+640.00E+00,-72.16919E+00
+660.00E+00,-70.56641E+00
+680.00E+00,-76.59058E+00
+700.00E+00,-69.73511E+00
+720.00E+00,-69.72534E+00
+740.00E+00,-69.08936E+00
+760.00E+00,-59.22485E+00
+780.00E+00,-59.96704E+00
+800.00E+00,-53.67554E+00
+820.00E+00,-52.77588E+00
+840.00E+00,-47.65503E+00
+860.00E+00,-39.63501E+00
+880.00E+00,-36.58447E+00
+900.00E+00,-23.53271E+00
+920.00E+00,-12.53174E+00
+940.00E+00,-6.78589E+00
+960.00E+00,-3.91602E+00
+980.00E+00,-3.28735E+00
+1.00000E+03,-4.57764E+00
+1.02000E+03,-7.94189E+00
+1.04000E+03,-14.41895E+00
+1.06000E+03,-26.72974E+00
+1.08000E+03,-35.10498E+00
+1.10000E+03,-38.40210E+00
+1.12000E+03,-44.28589E+00
+1.14000E+03,-46.77368E+00
+1.16000E+03,-50.90576E+00
+1.18000E+03,-53.19092E+00
+1.20000E+03,-54.02466E+00
+1.22000E+03,-57.68799E+00
+1.24000E+03,-59.44702E+00
+1.26000E+03,-62.06665E+00
+1.28000E+03,-63.09326E+00
+1.30000E+03,-64.17236E+00
+1.32000E+03,-66.94824E+00
+1.34000E+03,-69.05029E+00
+1.36000E+03,-70.78735E+00
+1.38000E+03,-69.49585E+00
+1.40000E+03,-69.69604E+00
+1.42000E+03,-72.16797E+00
+1.44000E+03,-72.73804E+00
+1.46000E+03,-74.03320E+00
+1.48000E+03,-76.51367E+00
+1.50000E+03,-78.52051E+00
+1.52000E+03,-78.36914E+00
+1.54000E+03,-76.82495E+00
+1.56000E+03,-77.68188E+00
+1.58000E+03,-80.35767E+00
+1.60000E+03,-80.59082E+00
+1.62000E+03,-81.12549E+00
+1.64000E+03,-80.39917E+00
+1.66000E+03,-77.27051E+00
+1.68000E+03,-75.99243E+00
+1.70000E+03,-76.01318E+00
+1.72000E+03,-79.63013E+00
+1.74000E+03,-87.32422E+00
+1.76000E+03,-85.36499E+00
+1.78000E+03,-76.49292E+00
+1.80000E+03,-74.28955E+00
