x-axis,1,2,3
second,Volt,Volt,Volt
+8.180000E-03,+11.429687500E+00,-4.261718750E+00,+980.859399E-03
+8.185000E-03,+11.468750000E+00,-4.164062500E+00,+973.046899E-03
+8.190000E-03,+11.468750000E+00,-4.066406250E+00,+963.281274E-03
+8.195000E-03,+11.468750000E+00,-3.968750000E+00,+955.468774E-03
+8.200000E-03,+11.468750000E+00,-3.861328125E+00,+943.750024E-03
+8.205000E-03,+11.507812500E+00,-3.763671875E+00,+932.031274E-03
+8.210000E-03,+11.507812500E+00,-3.666015625E+00,+920.312524E-03
+8.215000E-03,+11.546875000E+00,-3.568359375E+00,+906.640649E-03
+8.220000E-03,+11.546875000E+00,-3.470703125E+00,+892.968774E-03
+8.225000E-03,+11.546875000E+00,-3.363281250E+00,+877.343774E-03
+8.230000E-03,+11.546875000E+00,-3.265625000E+00,+861.718774E-03
+8.235000E-03,+11.585937500E+00,-3.177734375E+00,+846.093774E-03
+8.240000E-03,+11.585937500E+00,-3.089843750E+00,+828.515649E-03
+8.245000E-03,+11.585937500E+00,-2.982421875E+00,+810.937524E-03
+8.250000E-03,+11.585937500E+00,-2.894531250E+00,+791.406274E-03
+8.255000E-03,+11.625000000E+00,-2.796875000E+00,+769.921899E-03
+8.260000E-03,+11.585937500E+00,-2.699218750E+00,+748.437524E-03
+8.265000E-03,+11.625000000E+00,-2.591796875E+00,+726.953149E-03
+8.270000E-03,+11.625000000E+00,-2.494140625E+00,+703.515649E-03
+8.275000E-03,+11.625000000E+00,-2.386718750E+00,+678.125024E-03
+8.280000E-03,+11.625000000E+00,-2.308593750E+00,+654.687524E-03
+8.285000E-03,+11.625000000E+00,-2.210937500E+00,+629.296899E-03
+8.290000E-03,+11.625000000E+00,-2.103515625E+00,+601.953149E-03
+8.295000E-03,+11.664062500E+00,-2.005859375E+00,+574.609399E-03
+8.300000E-03,+11.625000000E+00,-1.917968750E+00,+547.265649E-03
+8.305000E-03,+11.664062500E+00,-1.820312500E+00,+519.921899E-03
+8.310000E-03,+11.664062500E+00,-1.722656250E+00,+492.578149E-03
+8.315000E-03,+11.664062500E+00,-1.625000000E+00,+465.234399E-03
+8.320000E-03,+11.664062500E+00,-1.527343750E+00,+437.890649E-03
+8.325000E-03,+11.664062500E+00,-1.429687500E+00,+408.593774E-03
+8.330000E-03,+11.664062500E+00,-1.332031250E+00,+381.250024E-03
+8.335000E-03,+11.664062500E+00,-1.234375000E+00,+350.000024E-03
+8.340000E-03,+11.664062500E+00,-1.136718750E+00,+320.703149E-03
+8.345000E-03,+11.664062500E+00,-1.029296875E+00,+289.453149E-03
+8.350000E-03,+11.664062500E+00,-931.640625E-03,+258.203149E-03
+8.355000E-03,+11.664062500E+00,-824.218750E-03,+226.953149E-03
+8.360000E-03,+11.703125000E+00,-716.796875E-03,+195.703149E-03
+8.365000E-03,+11.703125000E+00,-619.140625E-03,+162.500024E-03
+8.370000E-03,+11.664062500E+00,-521.484375E-03,+131.250024E-03
+8.375000E-03,+11.664062500E+00,-433.593750E-03,+100.000024E-03
+8.380000E-03,+11.664062500E+00,-345.703125E-03,+68.750024E-03
+8.385000E-03,+11.664062500E+00,-248.046875E-03,+35.546899E-03
+8.390000E-03,+11.664062500E+00,-150.390625E-03,+4.296899E-03
+8.395000E-03,+11.664062500E+00,-42.968750E-03,-28.906226E-03
+8.400000E-03,+11.703125000E+00,+44.921875E-03,-60.156226E-03
+8.405000E-03,+11.664062500E+00,+142.578125E-03,-91.406226E-03
+8.410000E-03,+11.703125000E+00,+240.234375E-03,-124.609351E-03
+8.415000E-03,+11.664062500E+00,+328.125000E-03,-157.812476E-03
+8.420000E-03,+11.703125000E+00,+435.546875E-03,-189.062476E-03
+8.425000E-03,+11.703125000E+00,+533.203125E-03,-220.312476E-03
+8.430000E-03,+11.703125000E+00,+640.625000E-03,-253.515601E-03
+8.435000E-03,+11.703125000E+00,+748.046875E-03,-284.765601E-03
+8.440000E-03,+11.703125000E+00,+835.937500E-03,-316.015601E-03
+8.445000E-03,+11.703125000E+00,+933.593750E-03,-345.312476E-03
+8.450000E-03,+11.703125000E+00,+1.031250000E+00,-374.609351E-03
+8.455000E-03,+11.703125000E+00,+1.138671875E+00,-403.906226E-03
+8.460000E-03,+11.703125000E+00,+1.236328125E+00,-433.203101E-03
+8.465000E-03,+11.703125000E+00,+1.333984375E+00,-462.499976E-03
+8.470000E-03,+11.703125000E+00,+1.431640625E+00,-491.796851E-03
+8.475000E-03,+11.703125000E+00,+1.529296875E+00,-519.140601E-03
+8.480000E-03,+11.703125000E+00,+1.626953125E+00,-546.484351E-03
+8.485000E-03,+11.703125000E+00,+1.734375000E+00,-569.921851E-03
+8.490000E-03,+11.703125000E+00,+1.832031250E+00,-595.312476E-03
+8.495000E-03,+11.703125000E+00,+1.939453125E+00,-620.703101E-03
+8.500000E-03,+11.703125000E+00,+2.037109375E+00,-644.140601E-03
+8.505000E-03,+11.703125000E+00,+2.144531250E+00,-669.531226E-03
+8.510000E-03,+11.703125000E+00,+2.232421875E+00,-692.968726E-03
+8.515000E-03,+11.703125000E+00,+2.320312500E+00,-716.406226E-03
+8.520000E-03,+11.703125000E+00,+2.427734375E+00,-739.843726E-03
+8.525000E-03,+11.703125000E+00,+2.525390625E+00,-759.374976E-03
+8.530000E-03,+11.703125000E+00,+2.613281250E+00,-778.906226E-03
+8.535000E-03,+11.703125000E+00,+2.710937500E+00,-798.437476E-03
+8.540000E-03,+11.703125000E+00,+2.808593750E+00,-817.968726E-03
+8.545000E-03,+11.703125000E+00,+2.906250000E+00,-835.546851E-03
+8.550000E-03,+11.703125000E+00,+3.003906250E+00,-853.124976E-03
+8.555000E-03,+11.703125000E+00,+3.101562500E+00,-868.749976E-03
+8.560000E-03,+11.703125000E+00,+3.199218750E+00,-886.328101E-03
+8.565000E-03,+11.703125000E+00,+3.296875000E+00,-899.999976E-03
+8.570000E-03,+11.703125000E+00,+3.394531250E+00,-913.671851E-03
+8.575000E-03,+11.703125000E+00,+3.482421875E+00,-925.390601E-03
+8.580000E-03,+11.703125000E+00,+3.570312500E+00,-939.062476E-03
+8.585000E-03,+11.703125000E+00,+3.667968750E+00,-948.828101E-03
+8.590000E-03,+11.703125000E+00,+3.765625000E+00,-958.593726E-03
+8.595000E-03,+11.703125000E+00,+3.873046875E+00,-968.359351E-03
+8.600000E-03,+11.703125000E+00,+3.970703125E+00,-978.124976E-03
+8.605000E-03,+11.703125000E+00,+4.058593750E+00,-983.984351E-03
+8.610000E-03,+11.703125000E+00,+4.156250000E+00,-991.796851E-03
+8.615000E-03,+11.703125000E+00,+4.253906250E+00,-997.656226E-03
+8.620000E-03,+11.703125000E+00,+4.351562500E+00,-1.003515601E+00
+8.625000E-03,+11.703125000E+00,+4.439453125E+00,-1.009374976E+00
+8.630000E-03,+11.703125000E+00,+4.527343750E+00,-1.013281226E+00
+8.635000E-03,+11.703125000E+00,+4.615234375E+00,-1.019140601E+00
+8.640000E-03,+11.703125000E+00,+4.712890625E+00,-1.021093726E+00
+8.645000E-03,+11.703125000E+00,+4.810546875E+00,-1.024999976E+00
+8.650000E-03,+11.703125000E+00,+4.898437500E+00,-1.026953101E+00
+8.655000E-03,+11.703125000E+00,+4.996093750E+00,-1.030859351E+00
+8.660000E-03,-2.046875000E+00,+5.064453125E+00,-1.032812476E+00
+8.665000E-03,-12.125000000E+00,+4.976562500E+00,-1.030859351E+00
+8.670000E-03,-12.125000000E+00,+4.878906250E+00,-1.026953101E+00
+8.675000E-03,-12.125000000E+00,+4.781250000E+00,-1.023046851E+00
