x-axis,MATH
Hertz,dBV
+3.0000E+03,-83.95508E+00
+3.2000E+03,-82.10022E+00
+3.4000E+03,-82.32635E+00
+3.6000E+03,-79.38049E+00
+3.8000E+03,-77.35992E+00
+4.0000E+03,-79.84039E+00
+4.2000E+03,-82.25281E+00
+4.4000E+03,-79.86053E+00
+4.6000E+03,-75.19043E+00
+4.8000E+03,-73.60352E+00
+5.0000E+03,-74.37286E+00
+5.2000E+03,-74.40674E+00
+5.4000E+03,-73.35968E+00
+5.6000E+03,-70.27191E+00
+5.8000E+03,-68.75946E+00
+6.0000E+03,-68.70148E+00
+6.2000E+03,-68.00415E+00
+6.4000E+03,-66.30585E+00
+6.6000E+03,-65.15259E+00
+6.8000E+03,-63.01483E+00
+7.0000E+03,-61.40808E+00
+7.2000E+03,-59.33838E+00
+7.4000E+03,-57.17804E+00
+7.6000E+03,-55.83527E+00
+7.8000E+03,-52.63062E+00
+8.0000E+03,-50.93597E+00
+8.2000E+03,-47.61078E+00
+8.4000E+03,-44.15436E+00
+8.6000E+03,-41.25458E+00
+8.8000E+03,-34.71954E+00
+9.0000E+03,-29.65088E+00
+9.2000E+03,-19.97742E+00
+9.4000E+03,-10.15289E+00
+9.6000E+03,-5.28442E+00
+9.8000E+03,-3.07098E+00
+10.0000E+03,-2.86865E+00
+10.2000E+03,-4.49280E+00
+10.4000E+03,-8.26233E+00
+10.6000E+03,-14.88892E+00
+10.8000E+03,-26.17096E+00
+11.0000E+03,-36.67145E+00
+11.2000E+03,-39.48822E+00
+11.4000E+03,-45.89142E+00
+11.6000E+03,-48.99628E+00
+11.8000E+03,-51.46088E+00
+12.0000E+03,-58.15430E+00
+12.2000E+03,-56.72455E+00
+12.4000E+03,-62.56500E+00
+12.6000E+03,-63.02704E+00
+12.8000E+03,-65.64606E+00
+13.0000E+03,-71.00677E+00
+13.2000E+03,-67.26379E+00
+13.4000E+03,-74.06006E+00
+13.6000E+03,-72.53876E+00
+13.8000E+03,-76.46301E+00
+14.0000E+03,-79.45587E+00
+14.2000E+03,-76.23779E+00
+14.4000E+03,-87.49390E+00
+14.6000E+03,-79.79614E+00
+14.8000E+03,-78.39233E+00
+15.0000E+03,-80.20142E+00
+15.2000E+03,-79.64203E+00
+15.4000E+03,-82.93213E+00
+15.6000E+03,-78.16132E+00
+15.8000E+03,-80.63416E+00
+16.0000E+03,-81.86493E+00
+16.2000E+03,-85.43182E+00
+16.4000E+03,-89.87854E+00
+16.6000E+03,-82.14233E+00
+16.8000E+03,-86.34094E+00
+17.0000E+03,-84.53094E+00
+17.2000E+03,-81.23047E+00
+17.4000E+03,-82.32971E+00
+17.6000E+03,-82.45209E+00
+17.8000E+03,-82.88757E+00
+18.0000E+03,-78.32458E+00
+18.2000E+03,-74.98718E+00
+18.4000E+03,-73.02063E+00
+18.6000E+03,-69.06708E+00
+18.8000E+03,-64.51080E+00
+19.0000E+03,-56.72729E+00
+19.2000E+03,-47.41577E+00
+19.4000E+03,-39.92401E+00
+19.6000E+03,-35.96130E+00
+19.8000E+03,-34.40979E+00
+20.0000E+03,-34.83459E+00
+20.2000E+03,-37.20306E+00
+20.4000E+03,-41.98517E+00
+20.6000E+03,-50.26733E+00
+20.8000E+03,-60.18005E+00
+21.0000E+03,-66.51367E+00
+21.2000E+03,-70.71686E+00
+21.4000E+03,-75.65979E+00
+21.6000E+03,-79.47784E+00
+21.8000E+03,-82.22107E+00
+22.0000E+03,-83.88458E+00
+22.2000E+03,-84.59076E+00
+22.4000E+03,-91.16577E+00
+22.6000E+03,-95.24078E+00
+22.8000E+03,-94.76837E+00
+23.0000E+03,-94.87732E+00
+23.2000E+03,-95.42847E+00
+23.4000E+03,-91.54236E+00
+23.6000E+03,-91.41266E+00
+23.8000E+03,-90.02014E+00
