x-axis,MATH
Hertz,dBV
+3.0000E+03,-76.73401E+00
+3.2000E+03,-68.99963E+00
+3.4000E+03,-63.64105E+00
+3.6000E+03,-64.47723E+00
+3.8000E+03,-68.19000E+00
+4.0000E+03,-68.03406E+00
+4.2000E+03,-62.34467E+00
+4.4000E+03,-58.80920E+00
+4.6000E+03,-60.13367E+00
+4.8000E+03,-62.41150E+00
+5.0000E+03,-61.18347E+00
+5.2000E+03,-56.09161E+00
+5.4000E+03,-53.13049E+00
+5.6000E+03,-54.58557E+00
+5.8000E+03,-55.86243E+00
+6.0000E+03,-53.80493E+00
+6.2000E+03,-48.97491E+00
+6.4000E+03,-46.29883E+00
+6.6000E+03,-47.61749E+00
+6.8000E+03,-47.85431E+00
+7.0000E+03,-44.76349E+00
+7.2000E+03,-39.83856E+00
+7.4000E+03,-36.92993E+00
+7.6000E+03,-37.09991E+00
+7.8000E+03,-35.79834E+00
+8.0000E+03,-30.98053E+00
+8.2000E+03,-24.87946E+00
+8.4000E+03,-19.36554E+00
+8.6000E+03,-14.57458E+00
+8.8000E+03,-10.48187E+00
+9.0000E+03,-7.79510E+00
+9.2000E+03,-5.60455E+00
+9.4000E+03,-4.07074E+00
+9.6000E+03,-3.09418E+00
+9.8000E+03,-2.50214E+00
+10.0000E+03,-2.63306E+00
+10.2000E+03,-3.00903E+00
+10.4000E+03,-3.99628E+00
+10.6000E+03,-5.40466E+00
+10.8000E+03,-7.39716E+00
+11.0000E+03,-10.32684E+00
+11.2000E+03,-14.05304E+00
+11.4000E+03,-19.70154E+00
+11.6000E+03,-25.89752E+00
+11.8000E+03,-30.24323E+00
+12.0000E+03,-32.15729E+00
+12.2000E+03,-34.45587E+00
+12.4000E+03,-37.55981E+00
+12.6000E+03,-40.59387E+00
+12.8000E+03,-42.65015E+00
+13.0000E+03,-43.74390E+00
+13.2000E+03,-45.16724E+00
+13.4000E+03,-47.25342E+00
+13.6000E+03,-49.23492E+00
+13.8000E+03,-50.61676E+00
+14.0000E+03,-51.60706E+00
+14.2000E+03,-52.78748E+00
+14.4000E+03,-54.27185E+00
+14.6000E+03,-55.66010E+00
+14.8000E+03,-56.77490E+00
+15.0000E+03,-57.72614E+00
+15.2000E+03,-58.67523E+00
