x-axis,MATH
Hertz,dBV
+800.00E+00,-43.42804E+00
+820.00E+00,-50.77179E+00
+840.00E+00,-45.79559E+00
+860.00E+00,-40.48782E+00
+880.00E+00,-37.44820E+00
+900.00E+00,-24.40468E+00
+920.00E+00,-13.41034E+00
+940.00E+00,-7.61658E+00
+960.00E+00,-4.49707E+00
+980.00E+00,-3.39706E+00
+1.00000E+03,-4.13818E+00
+1.02000E+03,-6.73218E+00
+1.04000E+03,-12.20917E+00
+1.06000E+03,-24.01939E+00
+1.08000E+03,-32.42073E+00
+1.10000E+03,-36.53168E+00
+1.12000E+03,-43.00491E+00
+1.14000E+03,-44.77531E+00
+1.16000E+03,-49.34135E+00
+1.18000E+03,-52.05093E+00
+1.20000E+03,-54.03481E+00
+1.22000E+03,-57.40349E+00
+1.24000E+03,-57.94456E+00
+1.26000E+03,-60.87036E+00
+1.28000E+03,-62.33337E+00
+1.30000E+03,-63.65387E+00
+1.32000E+03,-65.56862E+00
+1.34000E+03,-66.74881E+00
+1.36000E+03,-68.84018E+00
+1.38000E+03,-69.48631E+00
+1.40000E+03,-70.57312E+00
+1.42000E+03,-72.24762E+00
+1.44000E+03,-73.82637E+00
+1.46000E+03,-75.43381E+00
+1.48000E+03,-75.92644E+00
+1.50000E+03,-76.16150E+00
+1.52000E+03,-76.69800E+00
+1.54000E+03,-77.21100E+00
+1.56000E+03,-77.87575E+00
+1.58000E+03,-80.32593E+00
+1.60000E+03,-81.07094E+00
+1.62000E+03,-81.01563E+00
+1.64000E+03,-80.51163E+00
+1.66000E+03,-79.22050E+00
+1.68000E+03,-77.61307E+00
+1.70000E+03,-76.98044E+00
+1.72000E+03,-80.91805E+00
+1.74000E+03,-81.91200E+00
+1.76000E+03,-79.60770E+00
+1.78000E+03,-77.66907E+00
+1.80000E+03,-76.16257E+00
+1.82000E+03,-72.21420E+00
+1.84000E+03,-69.30832E+00
+1.86000E+03,-63.69896E+00
+1.88000E+03,-54.15878E+00
+1.90000E+03,-44.42390E+00
+1.92000E+03,-38.20183E+00
+1.94000E+03,-35.14488E+00
+1.96000E+03,-34.12819E+00
+1.98000E+03,-34.96437E+00
+2.00000E+03,-37.75955E+00
+2.02000E+03,-42.99492E+00
+2.04000E+03,-53.50746E+00
+2.06000E+03,-61.38817E+00
+2.08000E+03,-66.79298E+00
+2.10000E+03,-71.99417E+00
+2.12000E+03,-77.28455E+00
+2.14000E+03,-82.54105E+00
+2.16000E+03,-83.54744E+00
+2.18000E+03,-85.31937E+00
+2.20000E+03,-87.04575E+00
+2.22000E+03,-86.24588E+00
+2.24000E+03,-84.35326E+00
+2.26000E+03,-90.39703E+00
+2.28000E+03,-92.53181E+00
+2.30000E+03,-90.57976E+00
+2.32000E+03,-89.77081E+00
+2.34000E+03,-91.07056E+00
+2.36000E+03,-89.72557E+00
+2.38000E+03,-87.10838E+00
+2.40000E+03,-100.14313E+00
+2.42000E+03,-106.08994E+00
+2.44000E+03,-98.53310E+00
+2.46000E+03,-98.52074E+00
+2.48000E+03,-104.90654E+00
+2.50000E+03,-98.86116E+00
+2.52000E+03,-91.66008E+00
+2.54000E+03,-89.60213E+00
+2.56000E+03,-91.79405E+00
+2.58000E+03,-99.87434E+00
+2.60000E+03,-102.30331E+00
+2.62000E+03,-103.18443E+00
+2.64000E+03,-98.18977E+00
+2.66000E+03,-90.62271E+00
+2.68000E+03,-90.21255E+00
+2.70000E+03,-89.61044E+00
+2.72000E+03,-87.89757E+00
+2.74000E+03,-87.28188E+00
+2.76000E+03,-87.14256E+00
